,Age,Air Pollution,Alcohol use,Dust Allergy,OccuPational Hazards,Genetic Risk,chronic Lung Disease,Balanced Diet,Obesity,Smoking,Passive Smoker,Level
Age,1.0,0.06,0.14,0.04,0.05,0.04,0.11,-0.03,0.06,0.04,0.02,0.08
Air Pollution,0.06,1.0,0.69,0.64,0.55,0.65,0.6,0.5,0.58,0.36,0.52,0.62
Alcohol use,0.14,0.69,1.0,0.84,0.85,0.85,0.75,0.58,0.62,0.52,0.49,0.68
Dust Allergy,0.04,0.64,0.84,1.0,0.88,0.82,0.69,0.65,0.68,0.39,0.58,0.7
OccuPational Hazards,0.05,0.55,0.85,0.88,1.0,0.88,0.86,0.68,0.71,0.47,0.52,0.66
Genetic Risk,0.04,0.65,0.85,0.82,0.88,1.0,0.79,0.64,0.7,0.48,0.54,0.68
chronic Lung Disease,0.11,0.6,0.75,0.69,0.86,0.79,1.0,0.62,0.59,0.52,0.52,0.61
Balanced Diet,-0.03,0.5,0.58,0.65,0.68,0.64,0.62,1.0,0.64,0.66,0.72,0.69
Obesity,0.06,0.58,0.62,0.68,0.71,0.7,0.59,0.64,1.0,0.4,0.65,0.82
Smoking,0.04,0.36,0.52,0.39,0.47,0.48,0.52,0.66,0.4,1.0,0.62,0.48
Passive Smoker,0.02,0.52,0.49,0.58,0.52,0.54,0.52,0.72,0.65,0.62,1.0,0.68
Level,0.08,0.62,0.68,0.7,0.66,0.68,0.61,0.69,0.82,0.48,0.68,1.0
